"Name","Active","Date","Operator","Description","href","Type","Fields","Pools","Order_Num","Order_Amendment","Order_Amendment_Num","Pool_Count_0","Pool_Count","Oil_Pool_Count","Gas_Pool_Count","Field_Count_0","Field_Count","Start_Page","Stop_Page"
"AEO 1","TRUE","1986-07-11","Standard","Exempts portions of all aquifers in Western Operating Area & K Pad for Class II injection.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20001%22}","AEO","PRUDHOE BAY","","1","","",TRUE,0,0,0,FALSE,1,1,111
"AEO 2","TRUE","1987-07-08","Conoco Inc.","Order exempts portions of freshwater aquifers below Milne Point Unit for injection activities.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20002%22}","AEO","MILNE POINT","","2","","",TRUE,0,0,0,FALSE,1,1,64
"AEO 2 A","FALSE","1987-07-08","BP Exploration (Alaska) Inc.","Application was incomplete and no action was taken.  BP was provided an opportunity to re-submit. 5/27/04","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20002%20A%22}","AEO","MILNE POINT","","2","A","",TRUE,0,0,0,FALSE,1,1,105
"AEO 3","TRUE","1989-03-30","Union Oil Company of California","Exempts freshwater aquifers occurring at 2300'+ & within 1/4 mile radius of Lewis Riv D-1well.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20003%22}","AEO","LEWIS RIVER","","3","","",TRUE,0,0,0,FALSE,1,1,284
"AEO 4","TRUE","1998-09-29","Phillips","Portions of aquifers in North Cook Inlet Field common to & which correlate w/the interval below 2900'MD in the A-12 well are exempt under 20 AAC 25.440.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20004%22}","AEO","NORTH COOK INLET","UNDEFINED WDSP","4","","",FALSE,1,0,0,FALSE,1,1,84
"AEO 5","TRUE","1999-06-29","Union Oil Company of California","Exempts aquifers common to and which correlate with the interval below 2,790 feed MD in the BLT No. 1 well.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20005%22}","AEO","PIONEER","","5","","",TRUE,0,0,0,FALSE,1,1,56
"AEO 6","TRUE","2001-07-23","Union Oil Company of California","Exempts Aquifers Within half mile radius of Ivan Riv U 14-31 well.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20006%22}","AEO","IVAN RIVER","UNDEFINED GAS","6","","",FALSE,1,0,1,FALSE,1,1,61
"AEO 6 A","TRUE","2008-12-05","Union Oil Company of California","Depth extension of AEO 6.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20006%20A%22}","AEO","IVAN RIVER","UNDEFINED GAS","6","A","",FALSE,1,0,1,FALSE,1,1,130
"AEO 7","TRUE","2001-08-01","Forest Oil Corporation","Exempts aquifer  within 1/2 mile radius and below the depth of 3749' MD in the Redoubt Unit #D1.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20007%22}","AEO","REDOUBT SHOAL","UNDEFINED WDSP","7","","",FALSE,1,0,0,FALSE,1,1,62
"AEO 8","TRUE","2002-06-06","Union Oil Company of California","Issuance of an aquifer exemption for purposes of Class II disposal in the Cohoe Unit #1 well located near Kasilof, Alaska.","https://ogc-docs.commerce.alaska.gov/weblink/Search2.aspx?searchcommand={LF:LOOKIN=%22IMGLIB-JNU%5CORDERS%5CAEOs%5CAEO%20008%22}","AEO","*EXPLORATORY","","8","","",TRUE,0,0,0,FALSE,1,1,88
