"Permit","Api","WellName","AreaName","FieldName","PoolNames","CurrentClass","CurrentStatus","SpudDate","OperatorName","AEO","AIO","CO","DIO","ERIO","O","SIO"
163019,50009100010000,"ROMIG PARK INC 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","10/20/1963 12:00:00 AM","Romig Park Inc.","","","","","","",""
100001,50009100020000,"OLD WILDCAT 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","1/1/1920 12:00:00 AM","Anchorage Oil and Development","","","","","","",""
163015,50009100030000,"KNIK ARM ST 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/26/1963 12:00:00 AM","Union Oil Company of California","","","","","","",""
165037,50009100040000,"LORRAINE ST 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","12/27/1965 12:00:00 AM","Atlantic Richfield Company","","","","","","",""
100002,50009100050000,"ALASKA GULF 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","6/26/1955 12:00:00 AM","Alaska Gulf Oil & Gas Development, Inc.","","","","","","",""
160033,50009100060000,"KNIK ARM 2","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","10/10/1960 12:00:00 AM","Union Oil Company of California","","","","","","",""
161035,50009100070000,"FISH CK UNIT 12-8","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/3/1961 12:00:00 AM","Union Oil Company of California","","","","","","",""
160032,50009100080000,"KNIK ARM 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/23/1960 12:00:00 AM","Union Oil Company of California","","","","","","",""
166006,50009100090000,"NEEDHAM 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","3/31/1966 12:00:00 AM","Austral Oil Company","","","","","","",""
165003,50009100100000,"WALLACE-KNUTSON 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Water supply well","4/11/1965 12:00:00 AM","Wallace Mining Company","","","","","","",""
165016,50009100110000,"WALLACE-KNUTSON 1-A","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","6/16/1965 12:00:00 AM","Wallace Mining Company","","","","","","",""
163001,50009100120000,"WASILLA ST 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","1/21/1963 12:00:00 AM","BP Alaska Inc.","","","","","","",""
162010,50009100130000,"PITTMAN 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","3/15/1962 12:00:00 AM","Union Oil Company of California","","","","","","",""
100003,50009100140000,"ROSETTA 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","6/15/1954 12:00:00 AM","Anchorage Gas and Oil Development","","","","","","",""
100004,50009100150000,"ROSETTA 2","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","5/10/1956 12:00:00 AM","Anchorage Gas and Oil Development","","","","","","",""
100005,50009100160000,"ROSETTA 3","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/25/1956 12:00:00 AM","Anchorage Gas and Oil Development","","","","","","",""
159008,50009100170000,"ROSETTA 4","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","8/13/1959 12:00:00 AM","Anchorage Gas and Oil Development","","","","","","",""
161027,50009100180000,"ROSETTA 4-A","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/12/1961 12:00:00 AM","Hackathorn Drilling Company","","","","","","",""
100006,50009100190000,"CHICKALOON 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","8/31/1928 12:00:00 AM","Peterson Oil Assoc.","","","","","","",""
100007,50009100200000,"EUREKA 1","COPPER RIVER BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","10/2/1953 12:00:00 AM","Aledo Oil Company","","","","","","",""
162032,50009100210000,"EUREKA 2","COPPER RIVER BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","10/28/1962 12:00:00 AM","Aledo Oil Company","","","","","","",""
100008,50009100220000,"HOUSTON CORE HOLE 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Stratigraphic Test","Plugged & Abandoned","11/1/1951 12:00:00 AM","US Bureau of Mines","","","","","","",""
100009,50009100230000,"HOUSTON CORE HOLE 2","COOK INLET BASIN","*EXPLORATORY","Unknown","Stratigraphic Test","Plugged & Abandoned","1/1/1951 12:00:00 AM","US Bureau of Mines","","","","","","",""
100010,50009100240000,"HOUSTON CORE HOLE 3","COOK INLET BASIN","*EXPLORATORY","Unknown","Stratigraphic Test","Plugged & Abandoned","1/1/1951 12:00:00 AM","US Bureau of Mines","","","","","","",""
100011,50009100240100,"HOUSTON CORE HOLE 3A","COOK INLET BASIN","*EXPLORATORY","Unknown","Stratigraphic Test","Plugged & Abandoned","10/1/1955 12:00:00 AM","Anchorage Oil and Gas Company","","","","","","",""
166011,50009100259500,"FEDERAL 1-3XX","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Permit expired","","Austral Oil Company","","","","","","",""
168081,50009200010000,"BIG LAKE USA 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/17/1968 12:00:00 AM","Pan American","","","","","","",""
169029,50009200020000,"FISHHOOK 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","4/18/1969 12:00:00 AM","Hill Production Company","","","","","","",""
169112,50009200030000,"BEAVER LAKES ST 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","12/22/1969 12:00:00 AM","Lovely, Lum","","","","","","",""
175023,50009200039000,"BEAVER LAKES ST 1 RE-ENTRY 2","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","12/22/1969 12:00:00 AM","Little Petroleum Corporation","","","","","","",""
174012,50009200039100,"BEAVER LAKES ST 1 RE-ENTRY","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","4/1/1974 12:00:00 AM","Harbinger Oil Corporation","","","","","","",""
171028,50009200040000,"AM QUASAR BIG LK 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","11/21/1971 12:00:00 AM","American Quasar Petroleum Company","","","","","","",""
173008,50009200050000,"HORSESHOE LK ST 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","3/10/1973 12:00:00 AM","Great Plains (American) Inc.","","","","","","",""
191130,50009200060000,"BIG LAKE BLT-01","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","1/5/1992 12:00:00 AM","ARCO Alaska Inc.","","","","","","",""
199068,50009200069000,"PIONEER UNIT BLT-01","COOK INLET BASIN","PIONEER","TYONEK UNDEFINED GAS","Development","Plugged & Abandoned","9/29/1999 12:00:00 AM","Pioneer Natural Resources Alaska Inc.","","","CO 479, CO 480","","","",""
194069,50009200080000,"ALASKA 94 CBM 1","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","4/12/1994 12:00:00 AM","State of Alaska, DNR","","","","","","",""
197241,50009200090000,"HOUSTON 1","COOK INLET BASIN","HOUSTON","COAL BED METHANE GAS","Development","Plugged & Abandoned","1/8/1998 12:00:00 AM","Growth Resource International","","","CO 358, CO 358 1, CO 358 2, CO 358 4, CO 412, CO 415","","","",""
197242,50009200100000,"HOUSTON 2","COOK INLET BASIN","HOUSTON","COAL BED METHANE GAS","Development","Plugged & Abandoned","1/29/1998 12:00:00 AM","Growth Resource International","","","CO 358, CO 358 1, CO 358 2, CO 358 4, CO 412, CO 415","","","",""
197243,50009200110000,"HOUSTON 3","COOK INLET BASIN","HOUSTON","UNDEFINED WDSP, COAL BED METHANE GAS","Exploratory","Plugged & Abandoned","1/21/1998 12:00:00 AM","Growth Resource International","","","CO 358, CO 358 1, CO 358 2, CO 358 4, CO 412, CO 415","DIO 14","","",""
197244,50009200120000,"HOUSTON 4","COOK INLET BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","3/31/1998 12:00:00 AM","Growth Resource International","","","","","","",""
